codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
8	pase_cortado	1564	463170	10.1	36.3	7	44	1	2372222	Almería	Iddrisu Baba	1	0	0	0	0	0
12	despeje	1564	469402	10.1	40.8	7	45	1	2372222	Almería	Edgar González	1	0	0	11.1	42.1	0
61	toco_balon	184	449300	88.5	55.1	7	45	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	0	0	0
1	pase	184	434078	70.9	68.7	7	52	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	67.2	57.8	0
1	pase	184	183462	68	52.2	7	55	1	2372222	Rayo Vallecano	Unai López	1	0	0	74.8	40.6	0
1	pase	184	449300	70.2	30.1	7	57	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	65	38	0
1	pase	184	183462	64.3	36.4	7	58	1	2372222	Rayo Vallecano	Unai López	1	0	0	68.4	20.8	0
1	pase	184	449300	70.9	25.4	8	3	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	68.5	33.1	0
1	pase	184	434078	68.6	30.6	8	3	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	75.1	5.1	0
1	pase	184	97624	76	4.2	8	6	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	66.4	8.5	0
1	pase	184	183462	65.1	8.5	8	8	1	2372222	Rayo Vallecano	Unai López	1	0	0	55.4	32.1	0
1	pase	184	89399	54.9	33.3	8	10	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	58	68.5	0
1	pase	184	77359	57.9	80.3	8	14	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	73.6	94.4	0
1	pase	184	178424	72.3	92.2	8	17	1	2372222	Rayo Vallecano	Alfonso Espino	1	0	0	62.1	79.5	0
1	pase	184	77359	60.3	76.3	8	21	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	0	52.2	61.1	0
1	pase	184	433161	53.2	57.8	8	24	1	2372222	Rayo Vallecano	Óscar Valentín	1	0	0	60.9	30.6	0
1	pase	184	89399	61.6	29.2	8	27	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	74.1	51.4	0
1	pase	184	449300	74.7	52.5	8	29	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	75.1	43.5	0
3	regate_fallado	184	40721	80.1	47.6	8	30	1	2372222	Rayo Vallecano	Óscar Trejo	0	0	0	0	0	0
4	falta_recibida	184	40721	79.4	44.6	8	30	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	152	0	0	265
4	falta_cometida	1564	210977	20.6	55.4	8	30	1	2372222	Almería	Srdjan Babic	0	0	152	0	0	265
13	ocasion_fuera	184	434078	81.4	50.4	9	48	1	2372222	Rayo Vallecano	Isi Palazón	1	26	0	0	0	0
5	balon_fuera	1564	76611	0	44.8	9	49	1	2372222	Almería	Diego Mariño	1	0	346	0	0	0
5	balon_fuera	184	434078	100	55.2	9	49	1	2372222	Rayo Vallecano	Isi Palazón	0	0	346	0	0	0
1	pase	1564	76611	4.1	42.3	10	6	1	2372222	Almería	Diego Mariño	1	0	0	8.3	24.4	0
2	pase_fuera_juego	1564	469402	8.4	22.5	10	9	1	2372222	Almería	Edgar González	1	0	0	50.9	44.5	0
55	sin_identificar	184	89399	49	53.6	10	9	1	2372222	Rayo Vallecano	Aridane Hernández	1	0	0	0	0	0
1	pase_fallado	184	77359	42.9	66	10	44	1	2372222	Rayo Vallecano	Florian Lejeune	0	0	0	77.1	6.3	0
44	duelo_aereo	1564	220871	24.2	93.8	10	46	1	2372222	Almería	Sergio Akieme	1	0	0	0	0	0
44	duelo_aereo	184	434078	75.8	6.2	10	46	1	2372222	Rayo Vallecano	Isi Palazón	0	0	0	0	0	0
12	despeje	1564	220871	25.2	92.3	10	46	1	2372222	Almería	Sergio Akieme	1	0	0	31.5	101.4	0
5	balon_fuera	1564	220871	31.1	100	10	48	1	2372222	Almería	Sergio Akieme	0	0	347	0	0	0
5	balon_fuera	184	434078	68.9	0	10	48	1	2372222	Rayo Vallecano	Isi Palazón	1	0	347	0	0	0
1	pase_fallado	184	97624	80.4	0	10	54	1	2372222	Rayo Vallecano	Iván Balliu	0	0	0	86.8	28.8	0
12	despeje	1564	469402	15.3	65.8	10	57	1	2372222	Almería	Edgar González	1	0	0	40.1	89.7	0
49	recuperacion_balon	1564	432838	40	89.4	10	59	1	2372222	Almería	Luis Suárez	1	0	0	0	0	0
4	falta_recibida	1564	432838	38.6	90	11	1	1	2372222	Almería	Luis Suárez	1	0	152	0	0	0
4	falta_cometida	184	89399	61.4	10	11	1	1	2372222	Rayo Vallecano	Aridane Hernández	0	0	152	0	0	0
1	pase	1564	220871	40	89.4	11	20	1	2372222	Almería	Sergio Akieme	1	0	0	33.5	35.4	0
1	pase	1564	469402	33.4	34.2	11	23	1	2372222	Almería	Edgar González	1	0	0	42	32.1	0
1	pase	1564	233681	41.3	21.9	11	25	1	2372222	Almería	Lucas Robertone	1	0	0	82.5	12.2	0
1	pase	1564	234548	94	18.6	11	30	1	2372222	Almería	Álex Pozo	1	0	0	86.7	38.5	0
13	ocasion_fuera	1564	132161	87	41.5	11	31	1	2372222	Almería	Adri Embarba	1	22	0	0	0	0
5	balon_fuera	1564	132161	100	36.2	11	32	1	2372222	Almería	Adri Embarba	0	0	346	0	0	0
5	balon_fuera	184	77359	0	63.8	11	32	1	2372222	Rayo Vallecano	Florian Lejeune	1	0	346	0	0	0
1	pase	184	94878	4.3	49.6	12	1	1	2372222	Rayo Vallecano	Stole Dimitrievski	1	0	0	61.3	62.1	0
44	duelo_aereo	184	449300	63.4	63.6	12	4	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	0	0	0
44	duelo_aereo	1564	469402	36.6	36.4	12	4	1	2372222	Almería	Edgar González	0	0	0	0	0	0
1	pase_fallado	184	449300	62.1	62.5	12	4	1	2372222	Rayo Vallecano	Randy Nteka	0	0	0	65.7	63	0
61	toco_balon	1564	469402	35.4	35.2	12	4	1	2372222	Almería	Edgar González	1	0	0	0	0	0
49	recuperacion_balon	1564	463170	30.1	40.4	12	6	1	2372222	Almería	Iddrisu Baba	1	0	0	0	0	0
1	pase	1564	463170	30.1	40.4	12	6	1	2372222	Almería	Iddrisu Baba	1	0	0	32.7	59.3	0
61	toco_balon	1564	220871	32.7	59.3	12	7	1	2372222	Almería	Sergio Akieme	0	0	0	0	0	0
61	toco_balon	184	434078	64.8	27.2	12	7	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	0	0	0
49	recuperacion_balon	184	449300	70.9	17.2	12	11	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	0	0	0
1	pase	184	449300	73.1	15.2	12	12	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	69.1	5.1	0
1	pase	184	97624	69.9	3.8	12	14	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	66	13	0
1	pase	184	183462	65.2	20.1	12	15	1	2372222	Rayo Vallecano	Unai López	1	0	0	75	30.6	0
83	sin_identificar	1564	233681	26.2	76.9	12	17	1	2372222	Almería	Lucas Robertone	0	0	0	0	0	0
1	pase	184	40721	69	27.2	12	18	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	74.7	25.7	0
1	pase	184	449300	75.1	28.3	12	19	1	2372222	Rayo Vallecano	Randy Nteka	1	0	0	75.5	27.2	0
3	regate_conseguido	184	40721	83.1	29.4	12	21	1	2372222	Rayo Vallecano	Óscar Trejo	1	0	0	0	0	0
45	regate_recibido	1564	220871	16.9	70.6	12	21	1	2372222	Almería	Sergio Akieme	0	0	0	0	0	0
3	regate_fallado	184	40721	86.6	26.4	12	21	1	2372222	Rayo Vallecano	Óscar Trejo	0	0	0	0	0	0
7	entrada	1564	233681	13.4	73.6	12	22	1	2372222	Almería	Lucas Robertone	0	0	0	0	0	0
1	pase	184	434078	80.1	21.4	12	25	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	76.1	11.6	0
1	pase	184	97624	76.2	10.7	12	27	1	2372222	Rayo Vallecano	Iván Balliu	1	0	0	73.3	19	0
1	pase	184	434078	73.6	18.3	12	28	1	2372222	Rayo Vallecano	Isi Palazón	1	0	0	68.4	13	0
1	pase	184	183462	68.4	12.7	12	29	1	2372222	Rayo Vallecano	Unai López	1	0	0	74.6	3.8	0
1	pase_fallado	184	97624	78.1	4.2	12	33	1	2372222	Rayo Vallecano	Iván Balliu	0	0	0	89	36	0
12	despeje	1564	210977	10.4	60	12	34	1	2372222	Almería	Srdjan Babic	1	0	0	35.2	73.5	0
61	toco_balon	1564	432838	33.8	73.5	12	36	1	2372222	Almería	Luis Suárez	0	0	0	0	0	0
1	pase_fallado	184	433161	69	34.2	12	37	1	2372222	Rayo Vallecano	Óscar Valentín	0	0	0	65.1	28.8	0
